Timestep 161/1000, Loss: 0.0279
Timestep 162/1000, Loss: 0.0275
Timestep 163/1000, Loss: 0.0268
Timestep 164/1000, Loss: 0.0279
Timestep 165/1000, Loss: 0.0270
Timestep 166/1000, Loss: 0.0264
Timestep 167/1000, Loss: 0.0265
Timestep 168/1000, Loss: 0.0276
Timestep 169/1000, Loss: 0.0269
Timestep 170/1000, Loss: 0.0272
Timestep 171/1000, Loss: 0.0264
Timestep 172/1000, Loss: 0.0266
Timestep 173/1000, Loss: 0.0259
Timestep 174/1000, Loss: 0.0280
Timestep 175/1000, Loss: 0.0266
Timestep 176/1000, Loss: 0.0280
Timestep 177/1000, Loss: 0.0267
Timestep 178/1000, Loss: 0.0269
Timestep 179/1000, Loss: 0.0263
Timestep 180/1000, Loss: 0.0267
Timestep 181/1000, Loss: 0.0273
Timestep 182/1000, Loss: 0.0264
Timestep 183/1000, Loss: 0.0251
Timestep 184/1000, Loss: 0.0260
Timestep 185/1000, Loss: 0.0258
Timestep 186/1000, Loss: 0.0257
Timestep 187/1000, Loss: 0.0265
Timestep 188/1000, Loss: 0.0269
Timestep 189/1000, Loss: 0.0259
Timestep 190/1000, Loss: 0.0259
Timestep 191/1000, Loss: 0.0274
Timestep 192/1000, Loss: 0.0267
Timestep 193/1000, Loss: 0.0259
Timestep 194/1000, Loss: 0.0272
Timestep 195/1000, Loss: 0.0261
Timestep 196/1000, Loss: 0.0267
Timestep 197/1000, Loss: 0.0265
Timestep 198/1000, Loss: 0.0256
Timestep 199/1000, Loss: 0.0256
Timestep 200/1000, Loss: 0.0261
Timestep 201/1000, Loss: 0.0258
Timestep 202/1000, Loss: 0.0260
Timestep 203/1000, Loss: 0.0256
Timestep 204/1000, Loss: 0.0264
Timestep 205/1000, Loss: 0.0262
Timestep 206/1000, Loss: 0.0257
Timestep 207/1000, Loss: 0.0269
Timestep 208/1000, Loss: 0.0263
Timestep 209/1000, Loss: 0.0267
Timestep 210/1000, Loss: 0.0262
Timestep 211/1000, Loss: 0.0275
Timestep 212/1000, Loss: 0.0262
Timestep 213/1000, Loss: 0.0258
Timestep 214/1000, Loss: 0.0260
Timestep 215/1000, Loss: 0.0260
Timestep 216/1000, Loss: 0.0262
Timestep 217/1000, Loss: 0.0255
Timestep 218/1000, Loss: 0.0252
Timestep 219/1000, Loss: 0.0255
Timestep 220/1000, Loss: 0.0251
Timestep 221/1000, Loss: 0.0261
Timestep 222/1000, Loss: 0.0258
Timestep 223/1000, Loss: 0.0254
Timestep 224/1000, Loss: 0.0250
Timestep 225/1000, Loss: 0.0261
Timestep 226/1000, Loss: 0.0255
Timestep 227/1000, Loss: 0.0255
Timestep 228/1000, Loss: 0.0248
Timestep 229/1000, Loss: 0.0252
Timestep 230/1000, Loss: 0.0255
Timestep 231/1000, Loss: 0.0255
Timestep 232/1000, Loss: 0.0262
Timestep 233/1000, Loss: 0.0249
Timestep 234/1000, Loss: 0.0255
Timestep 235/1000, Loss: 0.0252
Timestep 236/1000, Loss: 0.0249
Timestep 237/1000, Loss: 0.0247
Timestep 238/1000, Loss: 0.0246
Timestep 239/1000, Loss: 0.0248
Timestep 240/1000, Loss: 0.0260
Timestep 241/1000, Loss: 0.0247
Timestep 242/1000, Loss: 0.0245
Timestep 243/1000, Loss: 0.0249
Timestep 244/1000, Loss: 0.0254
Timestep 245/1000, Loss: 0.0249
Timestep 246/1000, Loss: 0.0253
Timestep 247/1000, Loss: 0.0255
Timestep 248/1000, Loss: 0.0247
Timestep 249/1000, Loss: 0.0249
Timestep 250/1000, Loss: 0.0252
Timestep 251/1000, Loss: 0.0242
Timestep 252/1000, Loss: 0.0249
Timestep 253/1000, Loss: 0.0244
Timestep 254/1000, Loss: 0.0252
Timestep 255/1000, Loss: 0.0239
Timestep 256/1000, Loss: 0.0256
Timestep 257/1000, Loss: 0.0242
Timestep 258/1000, Loss: 0.0242
Timestep 259/1000, Loss: 0.0256
Timestep 260/1000, Loss: 0.0247
Timestep 261/1000, Loss: 0.0245
Timestep 262/1000, Loss: 0.0251
Timestep 263/1000, Loss: 0.0251
Timestep 264/1000, Loss: 0.0257
Timestep 265/1000, Loss: 0.0248
Timestep 266/1000, Loss: 0.0251
Timestep 267/1000, Loss: 0.0247
Timestep 268/1000, Loss: 0.0255
Timestep 269/1000, Loss: 0.0242
Timestep 270/1000, Loss: 0.0248
Timestep 271/1000, Loss: 0.0244
Timestep 272/1000, Loss: 0.0247
Timestep 273/1000, Loss: 0.0242
Timestep 274/1000, Loss: 0.0256
Timestep 275/1000, Loss: 0.0241
Timestep 276/1000, Loss: 0.0247
Timestep 277/1000, Loss: 0.0250
Timestep 278/1000, Loss: 0.0254
Timestep 279/1000, Loss: 0.0254
Timestep 280/1000, Loss: 0.0243
Timestep 281/1000, Loss: 0.0243
Timestep 282/1000, Loss: 0.0244
Timestep 283/1000, Loss: 0.0247
Timestep 284/1000, Loss: 0.0242
Timestep 285/1000, Loss: 0.0252
Timestep 286/1000, Loss: 0.0247
Timestep 287/1000, Loss: 0.0248
Timestep 288/1000, Loss: 0.0248
Timestep 289/1000, Loss: 0.0239
Timestep 290/1000, Loss: 0.0238
Timestep 291/1000, Loss: 0.0241
Timestep 292/1000, Loss: 0.0249
Timestep 293/1000, Loss: 0.0243
Timestep 294/1000, Loss: 0.0249
Timestep 295/1000, Loss: 0.0241
Timestep 296/1000, Loss: 0.0244
Timestep 297/1000, Loss: 0.0236
Timestep 298/1000, Loss: 0.0243
Timestep 299/1000, Loss: 0.0238
Timestep 300/1000, Loss: 0.0249
Timestep 301/1000, Loss: 0.0238
Timestep 302/1000, Loss: 0.0243
Timestep 303/1000, Loss: 0.0238
Timestep 304/1000, Loss: 0.0242
Timestep 305/1000, Loss: 0.0250
Timestep 306/1000, Loss: 0.0249
Timestep 307/1000, Loss: 0.0239
Timestep 308/1000, Loss: 0.0236
Timestep 309/1000, Loss: 0.0235
Timestep 310/1000, Loss: 0.0241
Timestep 311/1000, Loss: 0.0240
Timestep 312/1000, Loss: 0.0243
Timestep 313/1000, Loss: 0.0238
Timestep 314/1000, Loss: 0.0238
Timestep 315/1000, Loss: 0.0230
Timestep 316/1000, Loss: 0.0241
Timestep 317/1000, Loss: 0.0229
Timestep 318/1000, Loss: 0.0239
Timestep 319/1000, Loss: 0.0232
Timestep 320/1000, Loss: 0.0242
Timestep 321/1000, Loss: 0.0244
Timestep 322/1000, Loss: 0.0235
Timestep 323/1000, Loss: 0.0235
Timestep 324/1000, Loss: 0.0234
Timestep 325/1000, Loss: 0.0243
Timestep 326/1000, Loss: 0.0246
Timestep 327/1000, Loss: 0.0245
Timestep 328/1000, Loss: 0.0233
Timestep 329/1000, Loss: 0.0244
Timestep 330/1000, Loss: 0.0234
Timestep 331/1000, Loss: 0.0241
Timestep 332/1000, Loss: 0.0241
Timestep 333/1000, Loss: 0.0239
Timestep 334/1000, Loss: 0.0231
Timestep 335/1000, Loss: 0.0240
Timestep 336/1000, Loss: 0.0247
Timestep 337/1000, Loss: 0.0241
Timestep 338/1000, Loss: 0.0241
Timestep 339/1000, Loss: 0.0238
Timestep 340/1000, Loss: 0.0236
Timestep 341/1000, Loss: 0.0243
Timestep 342/1000, Loss: 0.0233
Timestep 343/1000, Loss: 0.0236
Timestep 344/1000, Loss: 0.0232
Timestep 345/1000, Loss: 0.0236
Timestep 346/1000, Loss: 0.0242
Timestep 347/1000, Loss: 0.0236
Timestep 348/1000, Loss: 0.0237
Timestep 349/1000, Loss: 0.0234
Timestep 350/1000, Loss: 0.0238
Timestep 351/1000, Loss: 0.0236
Timestep 352/1000, Loss: 0.0232
Timestep 353/1000, Loss: 0.0238
Timestep 354/1000, Loss: 0.0238
Timestep 355/1000, Loss: 0.0238
Timestep 356/1000, Loss: 0.0235
Timestep 357/1000, Loss: 0.0238
Timestep 358/1000, Loss: 0.0233
Timestep 359/1000, Loss: 0.0235
Timestep 360/1000, Loss: 0.0239
Timestep 361/1000, Loss: 0.0234
Timestep 362/1000, Loss: 0.0230
Timestep 363/1000, Loss: 0.0229
Timestep 364/1000, Loss: 0.0230
Timestep 365/1000, Loss: 0.0231
Timestep 366/1000, Loss: 0.0231
Timestep 367/1000, Loss: 0.0231
Timestep 368/1000, Loss: 0.0228
Timestep 369/1000, Loss: 0.0232
Timestep 370/1000, Loss: 0.0234
Timestep 371/1000, Loss: 0.0236
Timestep 372/1000, Loss: 0.0232
Timestep 373/1000, Loss: 0.0235
Timestep 374/1000, Loss: 0.0237
Timestep 375/1000, Loss: 0.0233
Timestep 376/1000, Loss: 0.0229
Timestep 377/1000, Loss: 0.0232
Timestep 378/1000, Loss: 0.0240
Timestep 379/1000, Loss: 0.0228
Timestep 380/1000, Loss: 0.0223
